,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,cc35b23e-b75f-4d5f-b8e6-4227077d8a6d,RANKED_SOLO_5x5,DIAMOND,IV,vAAl7ZS2T1NMAdWIpjHXjJrzLvCxXpRLm074rjRdGQFxLSg,꿀주먹 바이,67,52,46,False,False,False,False,
1,39968b36-8509-469f-803a-eb1e5055ea37,RANKED_SOLO_5x5,DIAMOND,IV,-YxBr7B9QyEzYXNawoveNL8XIi7uLf41FQhJLWQzyoF5wyo,간짜장간짬뽕,0,299,276,False,False,False,False,
2,e7f1ec87-4936-4fe9-b45b-a5e8bdc95591,RANKED_SOLO_5x5,DIAMOND,IV,3REHFgBvOz7QDKb1lP77oGq0t-uc20QrD2t9oOXxTU6cN3U,이녀써억,57,55,63,False,False,False,False,
3,8b2c97ca-33d4-48cb-96f6-a5dc980c4705,RANKED_SOLO_5x5,DIAMOND,IV,wp5kfTYXcv-YfLC6MBECN9ViYMknfd9UizMuJW7WqB-XJiw,삐대하게생김,0,120,124,False,False,False,False,
4,fb662cce-dbb8-4202-b49a-87f127291418,RANKED_SOLO_5x5,DIAMOND,IV,6WqkID1g_Hb4jXBO8IV1A-VyQ-bV-7joreyRXa8ma3JMfc0,밀짚모자해적루피,2,56,62,False,False,False,False,
5,12ac46bd-3d50-4b09-a323-2ad63c969b00,RANKED_SOLO_5x5,DIAMOND,IV,3aD7xU2AUFxx0GaeUgVv24qHJwQbWhAb8_9ueK7rwLCmkhs,알바전프로,38,138,91,False,False,False,False,
6,62fa84ad-3be6-4579-91ce-c9f9fbc866f9,RANKED_SOLO_5x5,DIAMOND,IV,3kjl23sbFnkJbO7vDQtE8zoDTx3PWsWqY_PrpTJHmKzVTvQ,눈물이많음,15,72,85,False,False,False,False,
7,93d95f9d-efe2-471c-900e-11fc2119d36f,RANKED_SOLO_5x5,DIAMOND,IV,eLnOPujbIuqQHwoe_QAeNIU0mIjgzkhRU_Jg5vO5niIuLh0,Hwom,0,135,145,False,False,False,False,
8,f4dc27ef-e41a-4ad0-ab2e-e71cf1525500,RANKED_SOLO_5x5,DIAMOND,IV,m8EmSPH2qzKfOtNg_MO8Cxg2o0DS-ckP3a7wQl8TwVeazKc,느껴지시나요,39,25,14,False,False,False,False,
9,b3818326-ceaf-4ab1-b26a-c306a05b87c5,RANKED_SOLO_5x5,DIAMOND,IV,MtV4Ivr5-pHPlrdtkfiUHE8_Sk5J2VoaaQqfx-uEeMlLG5k,강출두,49,187,184,False,False,False,False,
10,80dca113-0cba-4539-b4bc-c0a12432e35c,RANKED_SOLO_5x5,DIAMOND,IV,xpTbh-VOCL8K8xqhKhJLQ1_CGFUYe-Jd3xWfdMgjaLal-kw,꽃 지 연,18,112,110,False,False,False,False,
11,1a8e3683-cc65-46b7-b649-f240ac0e7d5d,RANKED_SOLO_5x5,DIAMOND,IV,rU2JbAskl3ZLqXzh756iUD6jENnkiyh3WGOiFf-GZf9klLk,알아서하는사람,35,167,161,False,False,False,False,
12,1e2fb16e-253f-456f-8b6c-9e618f197884,RANKED_SOLO_5x5,DIAMOND,IV,4_78q6jRYjRt2yVRyBVHMZxYVMSkFDvY5f0M-h-op0q1tvs,맹수 김재철,31,71,63,False,False,False,False,
13,6cd0f6f3-9c73-4f68-9fe6-690dde796dd2,RANKED_SOLO_5x5,DIAMOND,IV,WvIiofhmzZmmYCOjVaHkhEx_aXljDpxalY5wsp1jae3Zjg4,ASJASJ,35,55,58,False,False,False,False,
14,11f93d49-cb5f-4777-9626-00701a9aa772,RANKED_SOLO_5x5,DIAMOND,IV,nw4E2nAxfMB4IYe-1X0WQE7QFdYVxlcAzxRjNOWSpsKujC4,서폿은사람이다,45,186,157,False,False,False,True,
15,15f0c7f4-5d55-4c6d-beac-29afa013fba6,RANKED_SOLO_5x5,DIAMOND,IV,3r7ZAGhBZ0APBOVOiL0fKsXagf6e-s_t8ekWnWnWO1TPbBs,holymolyshiiit,6,131,121,False,False,False,False,
16,fadbf40e-c8fc-4ed3-8fae-d0fe8f01342a,RANKED_SOLO_5x5,DIAMOND,IV,JZQgP9oRT8UQU1FchoURKXbXc_RyvLP5bD5xRG6XbF7HBks,멘탈왕브레이킹,11,96,110,False,False,False,False,
17,c50f40cd-5f8f-4bc5-82e6-8b35833fb9ac,RANKED_SOLO_5x5,DIAMOND,IV,VCrGSuHONkZwuwAxctOsnihKOasFtnOasrLNuefvseFsKks,흑구공,9,353,330,True,False,False,False,
18,90ef3521-3fe0-4fe3-b7ff-809df107fc4a,RANKED_SOLO_5x5,DIAMOND,IV,6xENcdA2SDpV0hprUU5sYBJdMh-M5utEr6N0dUQN701-35s,자야행,25,290,297,False,False,False,False,
19,38972bb4-3016-49ee-9b71-91bb0cbe46e4,RANKED_SOLO_5x5,DIAMOND,IV,GUuDuMAzzWogqM2ZT0jzI8TQM8SznmiAK0mzQjRz_wxf528,문어재앙 문재앙,0,62,71,False,False,False,False,
20,2a6c9159-f05a-48c7-a421-6ea59f27d832,RANKED_SOLO_5x5,DIAMOND,IV,HaKnbxsINFd9Epn3GaeQ0pvHPhn-cCSicVKw30QX3wSfqKY,꿀벌 이모티콘,17,244,248,False,False,True,False,
21,6e492d30-6d06-462d-b893-a6d0f24c605c,RANKED_SOLO_5x5,DIAMOND,IV,b5Xw_lX8wO5OP0lynQ5rd7UMEsZ3wvVsvbnW_UiyKQFOmmw,기다려 귀찮아,0,158,172,True,False,False,False,
22,4bc2384f-b8c2-4cff-97d6-648b669001bb,RANKED_SOLO_5x5,DIAMOND,IV,lzhe3Su8vm8VCNN1UovBKnshkrxjcA0RyugBlbBEsJf087U,치고 빼지마라,60,119,128,False,False,False,False,
23,09941e4a-22be-4c4f-b04a-1254a4fd1630,RANKED_SOLO_5x5,DIAMOND,IV,UyytMkd2debLqpG9W_wjBsnEFSjA8Qo4s3Ui65tj3rLUz3E,젠틀멘,0,329,329,False,False,False,False,
24,efba85b1-c6ee-4d59-bd42-6bbcc563600f,RANKED_SOLO_5x5,DIAMOND,IV,l9Fh3W3sAMQSC4W0dDc5avc9mF9QaugFg6-CpmRjFdEv9mo,Ace티모,0,73,85,False,False,False,False,
25,c87099c5-2a16-4c6e-8af8-680f87840943,RANKED_SOLO_5x5,DIAMOND,IV,fA-CeRDtNgiH3zOORBcZwTM_p8O-l3Z6SXSDqSVYnDeUaJY,틀니빠진나이,0,280,291,False,False,False,False,
26,72f8b220-32b0-44cf-829f-8f176e8ea167,RANKED_SOLO_5x5,DIAMOND,IV,7-VLMIs8IJO5kvzaGk8N9z0XT3zsnbgfPxkz95ZrG4nXveg,길35,100,68,77,False,False,False,False,"{'target': 2, 'wins': 0, 'losses': 1, 'progress': 'LNN'}"
27,66a73da9-e98d-43d8-a229-57b1adc73c05,RANKED_SOLO_5x5,DIAMOND,IV,KMEV9UP1drNNxXxqLtIQD3mduyArS2Ejqa8wnKDt-t0B8pk,전주빵테온,58,79,62,False,False,False,False,
28,e43d81cb-5b79-47e9-93f8-3749cd73ac79,RANKED_SOLO_5x5,DIAMOND,IV,xhr0Rhwic8O3Pcq3psG2bISKM6a477ZGwn6Nwo-L1rbMEKg,Code Hoon3,61,86,89,False,False,False,False,
29,f08a5c14-b1ac-4a84-995b-5dab96004518,RANKED_SOLO_5x5,DIAMOND,IV,q7-E_Y21Hwi1351vhtr-a8rbJ-TqYJh7Cz9tgJIipf7CV_4,평화수,47,34,28,False,False,False,False,
30,41de9ec3-c679-4e66-9648-7b6c179632c6,RANKED_SOLO_5x5,DIAMOND,IV,SEaFoKB8OieLgs-GrVEsEEAyE-tKF8KiNs5Jq3_9rjbBq24,프리마테,0,111,111,False,False,False,False,
31,175a2c27-50b8-47b6-aebf-d532c6e77a66,RANKED_SOLO_5x5,DIAMOND,IV,biY6FNqO-WX5Cm7aSTLU9mHHegf-F96hRbbeXNr_xig0S_c,오늘도보통날,39,267,269,False,False,False,False,
32,2263cf16-4380-4355-86a3-75cae824e263,RANKED_SOLO_5x5,DIAMOND,IV,ARQLRlndVGzfQOB_gHGAxAsoF4CemzcWcalKnOBvgCTwAr0,재오닌데요,80,224,197,False,False,False,False,
33,e547cc26-d30e-4ccb-9062-85edca6f3849,RANKED_SOLO_5x5,DIAMOND,IV,TDA-Hoydjuy6w3Bof8hjWCu1epevnilOChLrpbJqlFBLty4,Hoxy 화나셨나요,9,103,97,False,False,False,False,
34,aa807d7a-16fb-43e4-ad7d-4e5a634eeb62,RANKED_SOLO_5x5,DIAMOND,IV,u3tC4DCG765rpNre-x0U51yCGjYqpRQBNsQUt_3d9-9V7bc,문무를 갖춘 사람,24,156,150,False,False,False,False,
35,c01089bb-ef11-47f8-964b-b43e549ac828,RANKED_SOLO_5x5,DIAMOND,IV,uOEdJYeqjl0gxfSDYDNQA6YQQfZ7RcFH3ZUU6z6c2rfvu-8,GgorillA,100,75,64,False,False,False,True,"{'target': 2, 'wins': 0, 'losses': 0, 'progress': 'NNN'}"
36,e9bd89bf-318b-4019-bfb7-61ed06f1907b,RANKED_SOLO_5x5,DIAMOND,IV,PVtJP6NQlmvTCON0hWvZBxNviK6whW6h5hGgVcyv2Uv9GO0,챌린저 자크,0,322,306,False,False,False,False,
37,6cd1663b-9abf-4dea-b6ed-d0d6175b1e12,RANKED_SOLO_5x5,DIAMOND,IV,TGHejzL93VK39e_tKPPeMzj9v4MN32EjUXdMClgHL0W4AwI,OMG Yi,14,283,279,False,False,False,False,
38,e7f1ec87-4936-4fe9-b45b-a5e8bdc95591,RANKED_SOLO_5x5,DIAMOND,IV,qxIOT_vVp1bj82ctb4rCZ545NiWnKDJsU-sCcZKU_4f1owY,괴물쥐 구조대,0,445,430,False,False,False,False,
39,4c589b04-3100-409b-b165-d891bc97a94c,RANKED_SOLO_5x5,DIAMOND,IV,hlkPL0h2U6Lv-bYm1jlGRJEuxh2Lp_xXlEgBcswjNtsF7jg,다섯가지자랑말,14,138,125,False,False,False,False,
40,7076357f-107f-4b08-befe-b00ab7dd290a,RANKED_SOLO_5x5,DIAMOND,IV,dE9ng7ZKRwwxgkrewTFE5GL2LMknd3vTi6DPU87aUJfIVys,2021년10월6일9시,60,138,131,False,False,False,False,
41,04e7ef94-3440-4372-a40f-7d381815febc,RANKED_SOLO_5x5,DIAMOND,IV,BL8J-1dVvOcDADDJ4OXxX0J6WBv2tkHsURZEbgZfrSZYK9Y,애꾸눈사람,65,142,154,False,False,False,True,
42,93d95f9d-efe2-471c-900e-11fc2119d36f,RANKED_SOLO_5x5,DIAMOND,IV,SRJf_TAVKx_E-qIWVNOnp62wa97VibsDE0i4YgB-zdna0E8,zxcvbbnm,81,246,275,False,False,False,False,
43,2f215a50-13fc-441f-a113-fe145ce83e1f,RANKED_SOLO_5x5,DIAMOND,IV,Y4q6i0wj7YB4MNYGBD6hL_LWkBp0Vte7LntgZhUA1cUS_bw,유3 롤,0,33,24,False,False,False,True,
44,5e0b7239-86a1-45d5-b100-61f39288e58b,RANKED_SOLO_5x5,DIAMOND,IV,0hCAlkZJQhPIFUOVNmgoESsKfIQuSIh4EIHqFraitENd8QE,땡스기빙데이,92,119,121,False,False,False,False,
45,04e7ef94-3440-4372-a40f-7d381815febc,RANKED_SOLO_5x5,DIAMOND,IV,IuIJIUadtcc1ts5VR9vuTAT1TDyMus6xpanir08euStmFZ4,도구는 기도중,5,200,203,False,False,False,False,
46,8b85ffad-0bef-4dbf-9635-b0be951a836c,RANKED_SOLO_5x5,DIAMOND,IV,eAbQB2uwmONh7O1QM_2yxE2GOBudpsgF7I5CR-yMcwBYEmk,AIRGIN,11,262,243,False,False,False,False,
47,1c5dfcbc-8199-4d99-87fd-5a3aec140627,RANKED_SOLO_5x5,DIAMOND,IV,z53tgNLrA7Q1C3gkERnL5yox2jKziP3o5fzdQ9YmEQ6eMYs,iF 잠만보,51,46,14,False,False,False,False,
48,96194426-6a59-457e-9e94-494a0d969b80,RANKED_SOLO_5x5,DIAMOND,IV,42JrS2qW10cwXbZj1K4bDw4fmEjoVhYTMUkNDPuP_DOpEYk,동그란잠만보,7,114,115,False,False,False,False,
49,041ad785-6088-4f86-b46f-1b25227a1f88,RANKED_SOLO_5x5,DIAMOND,IV,ODmPRvCFosmCoze4apAvXStlx-LQ8OyEBr51rnxeifcrADk,fcS Leopard,79,180,181,False,False,False,False,
50,108e654c-0120-45f5-a901-6fbf606a88ea,RANKED_SOLO_5x5,DIAMOND,IV,KTJKUhbZxd9EEbwUTjDjyKWuSQyP0tGnbWcOSUg5KPypB7o,r2a1,31,27,21,False,False,False,False,
51,d1333fc8-e1ef-4fd9-b82e-5928525f5590,RANKED_SOLO_5x5,DIAMOND,IV,1YzGHY-dKlcIL_-Zu-uSl1dH_WKiOw-AiBWMo6_LyB4lGDs,Avengers Hero,92,140,119,False,False,False,False,
52,730c2dc8-100a-472e-8a24-168ebbed9931,RANKED_SOLO_5x5,DIAMOND,IV,g7BFL22xTNFH98-Of80daMa4is2IG0DDvGmnF7X6ZIgrjt8,김석형,0,56,63,False,False,False,False,
53,f81d90e7-8d51-40b1-b1c5-3a9e3ce0bb87,RANKED_SOLO_5x5,DIAMOND,IV,W0vfNTNf0x6mYG8SSlP-pwHQYfbzBmtsK_lbZD6SEkzxBHw,하남사는재훈이 ,82,116,95,False,False,False,False,
54,a4dd7db9-97ba-47a0-8270-820d36a70bf6,RANKED_SOLO_5x5,DIAMOND,IV,Q58sO93orUvZEZ4_t62sqZDtPHMlvU163BOd9g3amJkMKrU,정글은 역시 뽀삐,13,264,243,False,False,False,False,
55,856124ce-d44b-4b35-b70e-0fd1fdee0dcc,RANKED_SOLO_5x5,DIAMOND,IV,cQpX3b7nW43LhUbL8YOAVc7rxfrl7OLNsDTSAJvU6wDIh_E,돌아오지마 Heize,68,209,204,False,False,False,False,
56,66a73da9-e98d-43d8-a229-57b1adc73c05,RANKED_SOLO_5x5,DIAMOND,IV,mVLmmIjH6xw_rerE8LzT775hkj4l9xWQ0YNqz01TgiouyQU,DRX Hyeong,19,271,225,False,False,False,False,
57,662e75ad-5c47-47d3-8dfb-64b5b9e1aaba,RANKED_SOLO_5x5,DIAMOND,IV,Luzy996xR_d3Fq0Nyo9YD6rq9ZF4m-VA3TjqiUGxi_Cthyo,그랜드듀크,21,28,20,False,False,False,False,
58,a4dd7db9-97ba-47a0-8270-820d36a70bf6,RANKED_SOLO_5x5,DIAMOND,IV,NPjR800RHoHwPk6IBKQsy746voZM83a5vVgZk1Ye9gLvxOM,망 량 겁 조,7,46,45,False,False,False,False,
59,a2001f6f-73a5-4989-9cd7-1de4715db712,RANKED_SOLO_5x5,DIAMOND,IV,KXbw43_7_zEFLLLXqE2nVrlTPOw6eD-QUPrsLLu3_uGc3_A,아임뚜준,0,305,290,False,False,True,False,
60,80dca113-0cba-4539-b4bc-c0a12432e35c,RANKED_SOLO_5x5,DIAMOND,IV,FDPP-52yBRw9W1aYN_uPeh4BGyuq0RpjR80PUDPMorWe-_8,성렐리아,37,87,109,False,False,False,False,
61,f63aac48-58b6-4893-a2f7-49bf3eddf51c,RANKED_SOLO_5x5,DIAMOND,IV,XBXQtZ4UNk-MaNAjeMetImR-PYIG2K2-T_WETA6n86bcfl0,대구학생님,35,100,88,False,False,False,False,
62,1809839d-d3da-48d2-9eeb-e637a32f6563,RANKED_SOLO_5x5,DIAMOND,IV,JPdBOu_-jNg8-ywoXv_G_id2P-SLK5ArA73F8XgUCam63cc,장득춘 마인드,33,132,136,False,False,True,False,
63,32f0d468-164b-47ab-817a-10e878be00a0,RANKED_SOLO_5x5,DIAMOND,IV,9F2GLhah8xMsRrMezdQ1AWLNmp4Che0SXDJr1zaHLiW2k-s,LOSELOSELOSE,0,83,59,False,False,False,False,
64,3ce69589-bfad-41d9-9731-74c280297f43,RANKED_SOLO_5x5,DIAMOND,IV,7fngEnDnDiN9c84lZZohj-c8DmVfrHbpR7py-Fn0FFqo_dk,178 75,0,95,94,False,False,False,False,
65,50ec74dc-be75-40db-afa8-41f68115c171,RANKED_SOLO_5x5,DIAMOND,IV,owUpbVg6bff3C8xLy2MOXWVVMy_043K735P6cXx4JwsoyLI,피식목마,48,71,59,False,False,False,True,
66,bb320307-7166-4a2d-9d14-0a0d15f9486b,RANKED_SOLO_5x5,DIAMOND,IV,Hghj230Y2QWqbCZZSoBQ_goSBoevon-C3oWtGAlkdbCCDCY,내가말더드듬었냐,0,111,110,False,False,True,True,
67,8cb6060e-23a2-4509-8902-a920d512bd75,RANKED_SOLO_5x5,DIAMOND,IV,UPNEy3nWepCRV-Qqz4v1uhvv2dEmCEEPToiISw7GbA-XVAM,행복할수있을까,19,30,23,False,False,False,False,
68,bb320307-7166-4a2d-9d14-0a0d15f9486b,RANKED_SOLO_5x5,DIAMOND,IV,HuVyrO2W-MaEoKjvJ-RRe0ifZ0JALdNw0G4_JxpMM31Tcmc,연패하기싫어,0,177,144,False,False,False,False,
69,b7aa2f2a-974a-4b6e-917c-245be88b58bc,RANKED_SOLO_5x5,DIAMOND,IV,fRxsGubdrBPS_iTgewdHyPzVtm_jna8-0BL_svINLFRjRXQ,닦닦닦닦닦닦닦이,55,94,86,False,False,False,False,
70,dd083260-3eeb-4a3a-a144-c47210e78239,RANKED_SOLO_5x5,DIAMOND,IV,wdVWXKuxp8wAheMyBY0uwsUc8cdjaibN8IJMEaIopuwY-k8,김을지,31,213,192,False,False,False,False,
71,2c2a5f27-4d73-44b7-82fb-15f6c7ead310,RANKED_SOLO_5x5,DIAMOND,IV,DVdTUxTdnQ-CcizG-J9o4qkwq_K8Oo5cGs29xnxRhL5-iFA,팀운무쳐버린사람,0,178,185,False,False,False,False,
72,4ae68ece-8119-4bd7-b8f7-5bf2634ead3f,RANKED_SOLO_5x5,DIAMOND,IV,551Mlu2zbZ07KmbIXtSZlI4CwPxE2eZrc3gXlwSLk9rF45U,ppodole,40,62,63,False,False,False,False,
73,af8584b6-1ceb-44fc-a396-860706075583,RANKED_SOLO_5x5,DIAMOND,IV,LIRSX76w-opxxYkACXl6iwxYjZ424Tmm_b2i7TxYg3FpAqU,나는실수너는실력,16,70,66,False,False,False,False,
74,9f73ba54-1f02-4629-855c-72e00560cccc,RANKED_SOLO_5x5,DIAMOND,IV,iwQDmBU1NcawapypjqFhqcf8tr2dO9nwOkGrS5addpq4cUo,팀운지킴이,17,114,113,False,False,False,False,
75,5deb76d6-70aa-4785-a168-670dee6adfca,RANKED_SOLO_5x5,DIAMOND,IV,qImDtREA9SlA5kC2QYVOs6ecDzYU3Lxi3RY6zOiKRvwaRmc,하하하민하이란뜻,15,217,197,False,False,False,False,
76,1e2fb16e-253f-456f-8b6c-9e618f197884,RANKED_SOLO_5x5,DIAMOND,IV,8jXEj5fBu_PiC1aV5_OSyChfbc2tFUhK7oDBN77kvmMHA-U,짬그브,26,61,83,False,False,False,False,
77,16f700b6-e807-454c-8e45-a5433e2949df,RANKED_SOLO_5x5,DIAMOND,IV,EOlPG3LcQ8JHGM5-HWSwzgoJJn4kuJKI-DHsOqHHCYE5bzk,그게어떻게됐냐면,74,102,81,False,False,False,True,
78,b9f8b8af-51c1-4cd0-9e7e-0e1d67cde576,RANKED_SOLO_5x5,DIAMOND,IV,4E-v7jvTkzqFuKXpGmpFOB7THg7x2ZXkpvLtRs-cF7ylOTE,루시안 세트,0,376,373,True,False,False,False,
79,4c84533a-b025-4b6a-b743-c019b05e8ff3,RANKED_SOLO_5x5,DIAMOND,IV,W_8L4cG601yUQaYeFuBe65KZIosSmqn-cLw3zpLO35Z0DaM,입털면 고아,87,225,195,False,False,False,True,
80,1de1fefa-d9a2-405d-b0d9-568a58a6aac2,RANKED_SOLO_5x5,DIAMOND,IV,M93THStnj9lJ0H8M7BPPrUv_Pl0yUS4axFrIJu8AVlhcXOI,별이되는날,100,150,154,False,False,False,False,"{'target': 2, 'wins': 0, 'losses': 1, 'progress': 'LNN'}"
81,68c55814-0965-467d-80ea-f7e3e566f301,RANKED_SOLO_5x5,DIAMOND,IV,vBx1rLpVzitIPVs8BkhFxCc3e5MDNYmkjwL9bfCC1TQC_8g,wvwvvvwvwvwvv,37,138,123,True,False,False,False,
82,433d95d5-332c-4825-8344-b6c5e2841973,RANKED_SOLO_5x5,DIAMOND,IV,ZlWBZb4d9OC2hDKJcRoRak_RBlHZNlZMtBETb3mcgVKMp6A,맹인인생,0,252,232,False,False,False,False,
83,15a91e50-d10e-4109-af43-836a7f266e27,RANKED_SOLO_5x5,DIAMOND,IV,qulmYcOqesgXcTw-cukVBLi7wju_eWA3J7Thvt3UdTOStxE,까미짱짱,0,41,35,False,False,True,True,
84,44b02b54-365a-42ef-b005-8bf527f4ea9d,RANKED_SOLO_5x5,DIAMOND,IV,jn8n5TooHmK5Gu5BunvJS8WQGWRpExfFSlRt6yRe17HgcWw,이새끼 선넘네,51,51,54,False,False,False,False,
85,3a77994d-23b7-4453-af81-4a5adc19f1f4,RANKED_SOLO_5x5,DIAMOND,IV,BrHH0nvkwSstoUSI1J9O_tVfVeget_6zoSBkyJrZuKrvoQY,복어팡,25,53,47,False,False,False,False,
86,5deb76d6-70aa-4785-a168-670dee6adfca,RANKED_SOLO_5x5,DIAMOND,IV,0qC1rvIz5ZLaTCDcCxuJClUVaJ-2jU6SD-3-RYava5AHexE,고졸공익모솔아다,7,145,144,True,False,False,False,
87,1d1f93c4-470c-41d9-848b-490a45356b30,RANKED_SOLO_5x5,DIAMOND,IV,ieySywiq8MyQZ3v80usnxNUkVNSX2rrDJwApY291d91aN2Q,짱구좋아해요,72,174,147,False,False,False,False,
88,4485e6bd-069b-4a96-8d6b-aac602b424a1,RANKED_SOLO_5x5,DIAMOND,IV,zgcV4nRCo0Jm_wXugjHXSzRO-RPb1m1rz19fZbC3Op4oQm4,IIIIIlllIIlllII,14,127,100,False,False,True,False,
89,53546010-7ffb-4769-a303-1bc0c05d8370,RANKED_SOLO_5x5,DIAMOND,IV,g-hY7xEM2aHEmmcLJQcCEPE-84KzdeeVuJllu0Bs1_IoxvU,yidu,0,54,53,False,False,False,False,
90,af4b8a4f-d8d2-4c55-9e52-fe4be7f4b969,RANKED_SOLO_5x5,DIAMOND,IV,fDvmIbBqqv_q3iQa71nnIRIfVehyNgaku-MBPPYp57qd21g,바실라,20,104,102,False,False,False,False,
91,238e2f76-874c-4d74-bfde-986e709be53b,RANKED_SOLO_5x5,DIAMOND,IV,yau0dijsH8THz6QbIlzDKynUH-Pqbq-rxtEsKLyoTwUWEIU,해운대둘리당구장,54,56,61,False,False,False,False,
92,b84fa252-69bc-44d0-9a3e-996cd7a85a80,RANKED_SOLO_5x5,DIAMOND,IV,fg4DaxFGlRjvn9hqYZjzU6pGtz0QXi1rMAi26v0rAj0NhCo,초록트롤,87,25,25,False,False,False,False,
93,97eef94e-b385-4788-baff-7cbcbe189441,RANKED_SOLO_5x5,DIAMOND,IV,bLx5Q2tYFQdf7tSSAJfIQc4S28DsirePG-UJ83wulyGTeSM,한석원의 손놀림,0,58,69,False,False,False,False,
94,6542cf34-ff76-4d73-aad7-abd2fbc70adb,RANKED_SOLO_5x5,DIAMOND,IV,41JCUpFENXSlmk4IgoHxdzlkf5Gd9uDnJN03Q6iW16wtvvA,자기두판해,15,304,331,False,False,False,False,
95,2e25d62e-24a8-4d9d-a18d-faf24ac0ed2a,RANKED_SOLO_5x5,DIAMOND,IV,F4yrsaYjW79UjuLgR6prXGq-6WcYhf2gDmFGjNJvnwm3wvM,니남친오늘쩔더라,67,266,216,False,False,False,False,
96,924e7b5f-7c56-4823-808f-dce4c097d8ea,RANKED_SOLO_5x5,DIAMOND,IV,JaLSNKRYryoQZMK023iDMwon0UoMKu3KX13l5suGDPYfqm4,청주대표미드,18,264,244,False,False,False,False,
97,db4b82e3-838b-48ea-949d-64398670fc51,RANKED_SOLO_5x5,DIAMOND,IV,6Y_qDgnfE-I17iD7PC7Sl2cXJGD1uqoVGzu62qppShKaD_I,김주먹 동무,0,61,53,False,False,False,False,
98,cbcd7cc6-9641-49bc-8da2-96395eab76b9,RANKED_SOLO_5x5,DIAMOND,IV,1KPOZK0lCpXV0wLPgAalYOW5z5d1b5a7-KdYIM5mm-RFtZQ,Mad Nicole,19,42,22,False,False,False,False,
99,54e241b2-6eb3-4d16-aafb-48981916b6bf,RANKED_SOLO_5x5,DIAMOND,IV,nC5I0onUeFigkH0PA3e9CKRBb06jQq0BzE0OikbdsSar--0,조이서 햄토링,38,59,76,False,False,False,False,
100,f78b46f2-251b-4302-b5e1-6121dfdef04f,RANKED_SOLO_5x5,DIAMOND,IV,Wm_C_Jlcja7bC0htxsSqELfmVIZnKGtGCidnfXZ-Lub4QvE,SO2SO2,0,226,172,False,False,True,False,
101,e92174a5-1e35-4ca1-a561-e6eb079b8ebd,RANKED_SOLO_5x5,DIAMOND,IV,DIsrOakIL5kGwYCp07ZvSG9WhdkHzAvUZRdBXR5vmNMnQgQ,지혈제,39,191,175,False,False,False,False,
